"Product / Variation Title",SKU,"Items Sold","Net Sales",Orders,Status,Stock
"Šaltai rūkyti lašiniai<span> - </span>1kg",,6,47.94,3,"In stock",5
"Aukštaitiška dešra<span> - </span>1kg",,5,44.95,4,"In stock",4
"Aukštaitiška dešra<span> - </span>500g",,2,5.49,2,"In stock",4
"Mažai parūkytos dešrelės<span> - </span>450g",,2,7.98,2,"In stock",5
"Karštai rūkytas kumpis<span> - </span>1kg",,1,8.99,1,"In stock",5
"Vytintos dešrelės<span> - </span>500g",,1,6.99,1,"In stock",5
"Mažai parūkytos dešrelės",,1,0.4,1,"In stock",5
"Šaltai rūkyti lašiniai<span> - </span>500g",,1,3.99,1,"In stock",5
"Karštai rūkyta šoninė<span> - </span>1kg",,1,8.99,1,"In stock",5
"Karštai rūkyta dešra<span> - </span>1kg",,1,8.49,1,"In stock",5
"Mažai parūkytos dešrelės<span> - </span>900g",,1,7.99,1,"In stock",5
"Karštai rūkyta šoninė<span> - </span>500g",,1,4.99,1,"In stock",5
"Karštai rūkyta dešra<span> - </span>500g",,1,4.49,1,"In stock",5